index,category_name,category_url,status,requested_limit,collected_count,success_count,sku_count,output_dir,started_at,finished_at,error
39,Baby Girls Shoes,https://www.lazada.sg/catalog?q=Baby%20Girls%20Shoes&from=hp_categories&src=all_channel,partial,100,40,40,1073,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\039_Baby_Girls_Shoes,2026-07-11 11:23:53,2026-07-11 11:33:45,
40,Baby Girls Swimwear,https://www.lazada.sg/catalog?q=Baby%20Girls%20Swimwear&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\040_Baby_Girls_Swimwear,2026-07-11 11:34:25,2026-07-11 11:40:28,Lazada verification or traffic page detected
41,Baby Girls Tops,https://www.lazada.sg/catalog?q=Baby%20Girls%20Tops&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\041_Baby_Girls_Tops,2026-07-11 11:49:51,2026-07-11 11:49:55,Lazada verification or traffic page detected
42,Baby Health Care,https://www.lazada.sg/catalog?q=Baby%20Health%20Care&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\042_Baby_Health_Care,2026-07-11 11:50:18,2026-07-11 11:51:55,"Page.wait_for_timeout: Target page, context or browser has been closed"
43,Baby Monitors,https://www.lazada.sg/catalog?q=Baby%20Monitors&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\043_Baby_Monitors,2026-07-11 11:58:55,2026-07-11 12:00:04,Lazada verification or traffic page detected
44,Baby Oral Care,https://www.lazada.sg/catalog?q=Baby%20Oral%20Care&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\044_Baby_Oral_Care,2026-07-11 12:06:40,2026-07-11 12:12:29,Lazada verification or traffic page detected
45,Baby Personal Care,https://www.lazada.sg/catalog?q=Baby%20Personal%20Care&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\045_Baby_Personal_Care,2026-07-11 12:15:57,2026-07-11 12:21:28,Lazada verification or traffic page detected
46,Baby Safety,https://www.lazada.sg/catalog?q=Baby%20Safety&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\046_Baby_Safety,2026-07-11 12:22:07,2026-07-11 12:26:47,[Errno 22] Invalid argument
47,Babyproofing & Safety,https://www.lazada.sg/catalog?q=Babyproofing%20%26%20Safety&from=hp_categories&src=all_channel,partial,100,40,40,482,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\047_Babyproofing_&_Safety,2026-07-11 12:29:17,2026-07-11 12:42:31,
48,Backpacks,https://www.lazada.sg/catalog?q=Backpacks&from=hp_categories&src=all_channel,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\048_Backpacks,2026-07-11 12:43:27,2026-07-11 12:49:28,Lazada verification or traffic page detected
