index,category_name,category_name_cn,category_url,status,requested_limit,collected_count,success_count,sku_count,output_dir,started_at,finished_at,error
5,Baby & Toddler Toys,婴幼儿玩具,https://www.lazada.sg/catalog?q=Baby+%26+Toddler+Toys&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\028_Baby_&_Toddler_Toys,2026-07-10 20:48:39,2026-07-10 20:57:19,Lazada verification or traffic page detected
6,Baby Boys Accessories,配件,https://www.lazada.sg/catalog?q=Baby+Boys+Accessories&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\029_Baby_Boys_Accessories,2026-07-10 20:59:51,2026-07-10 21:09:01,Lazada verification or traffic page detected
132,Baby Boys Bottoms,Baby Boys Bottoms,https://www.lazada.sg/catalog?q=Baby+Boys+Bottoms&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\030_Baby_Boys_Bottoms,2026-07-10 21:26:41,2026-07-10 21:27:33,Lazada verification or traffic page detected
7,Baby Boys Shoes,鞋靴,https://www.lazada.sg/catalog?q=Baby+Boys+Shoes&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\031_Baby_Boys_Shoes,2026-07-10 21:28:15,2026-07-10 21:29:00,"Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://www.lazada.sg/catalog?q=Baby%20Boys%20Shoes&from=hp_categories&src=all_channel"", waiting until ""domcontentloaded""
"
133,Baby Boys Swimwear,Baby Boys Swimwear,https://www.lazada.sg/catalog?q=Baby+Boys+Swimwear&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\032_Baby_Boys_Swimwear,2026-07-10 21:34:48,2026-07-10 21:35:43,Lazada verification or traffic page detected
134,Baby Boys Tops,Baby Boys Tops,https://www.lazada.sg/catalog?q=Baby+Boys+Tops&from=hp_categories&src=all_channel&price=20-,partial,100,40,40,1702,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\033_Baby_Boys_Tops,2026-07-10 21:36:09,2026-07-10 21:48:24,
135,Baby Carriers & Slings,Baby Carriers & Slings,https://www.lazada.sg/catalog?q=Baby+Carriers+%26+Slings&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\034_Baby_Carriers_&_Slings,2026-07-10 21:49:18,2026-07-10 21:56:53,Lazada verification or traffic page detected
8,Baby Fashion & Accessories,配件,https://www.lazada.sg/catalog?q=Baby+Fashion+%26+Accessories&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\035_Baby_Fashion_&_Accessories,2026-07-10 22:14:06,2026-07-10 22:18:25,Lazada verification or traffic page detected
136,Baby Gear,婴儿出行用品,https://www.lazada.sg/catalog?q=Baby+Gear&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\036_Baby_Gear,2026-07-10 22:19:07,2026-07-10 22:23:45,Lazada verification or traffic page detected
9,Baby Girls Accessories,配件,https://www.lazada.sg/catalog?q=Baby+Girls+Accessories&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\037_Baby_Girls_Accessories,2026-07-10 22:24:05,2026-07-10 22:28:31,Lazada verification or traffic page detected
137,Baby Girls Dresses,连衣裙,https://www.lazada.sg/catalog?q=Baby+Girls+Dresses&from=hp_categories&src=all_channel&price=20-,failed,100,,,,D:\ai\shopee_spider_windows_package\dist\t2\dist\ShopeeSpider\desktop_outputs\lazada_products_20260710_084733\categories\038_Baby_Girls_Dresses,2026-07-11 11:21:50,2026-07-11 11:22:30,Lazada verification or traffic page detected
