序号,shopid,itemid,标题,图片地址,图片地址列表,价格,划线价,折扣,详情,详情图片列表,规格,SKU列表,销量,评分,评分明细,店铺名,店铺地区,api地址,来源页面,详情页URL,详情状态,详情错误,采集时间,原始JSON
50,,1698551949,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i1698551949.html,pending,,,{}
51,,2853552477,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2853552477.html,pending,,,{}
52,,13779198320,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13779198320.html,pending,,,{}
53,,2855400448,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2855400448.html,pending,,,{}
54,,3446741387,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3446741387.html,pending,,,{}
55,,13732988313,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13732988313.html,pending,,,{}
56,,3615520334,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3615520334.html,pending,,,{}
57,,1920315456,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i1920315456.html,pending,,,{}
58,,13700013857,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13700013857.html,pending,,,{}
59,,3449782349,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3449782349.html,pending,,,{}
60,,13708035011,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13708035011.html,pending,,,{}
61,,3461780920,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3461780920.html,pending,,,{}
62,,13702969794,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13702969794.html,pending,,,{}
63,,13752143237,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13752143237.html,pending,,,{}
64,,3625816315,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3625816315.html,pending,,,{}
65,,13746110463,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13746110463.html,pending,,,{}
66,,13777840961,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13777840961.html,pending,,,{}
67,,1699505576,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i1699505576.html,pending,,,{}
68,,13692380348,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13692380348.html,pending,,,{}
69,,13784779169,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13784779169.html,pending,,,{}
70,,13777303114,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13777303114.html,pending,,,{}
71,,13724452018,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13724452018.html,pending,,,{}
72,,2225497317,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2225497317.html,pending,,,{}
73,,13785354146,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13785354146.html,pending,,,{}
74,,3644405896,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3644405896.html,pending,,,{}
75,,13703069711,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13703069711.html,pending,,,{}
76,,3526019188,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3526019188.html,pending,,,{}
77,,3492051815,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3492051815.html,pending,,,{}
78,,13717708718,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13717708718.html,pending,,,{}
79,,13762884182,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13762884182.html,pending,,,{}
80,,13704158496,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=3D%20Printing&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13704158496.html,pending,,,{}
81,,2835275136,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2835275136.html,pending,,,{}
82,,3012350993,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3012350993.html,pending,,,{}
83,,2286548777,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2286548777.html,pending,,,{}
84,,1929435994,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Access%20Points&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i1929435994.html,pending,,,{}
